File Name	What is the Word?	Meaning of the Word	Sentence	IPA Transliteration	English Translation	Sound	Image
0001_ദി_01	ദി	The word 'ദി' (di) is a definite article in Malayalam, equivalent to 'the' in English. It specifies a particular noun.	ദി പുസ്തകം എവിടെ?	/di pustakam eviṭe?/	Where is the book?	[sound:0001_ദി_01.mp3]	"<img src=""0001_ദി_01.jpg"">"
0001_ദി_02	ദി	The word 'ദി' (di) is a definite article in Malayalam, equivalent to 'the' in English. It specifies a particular noun.	ദി ആൾ നല്ലവൻ ആണ്.	/di aaḷ nallavan aaṇ./	The man is good.	[sound:0001_ദി_02.mp3]	"<img src=""0001_ദി_02.jpg"">"
0001_ദി_03	ദി	The word 'ദി' (di) is a definite article in Malayalam, equivalent to 'the' in English. It specifies a particular noun.	ഞാൻ ദി സിനിമ കണ്ടു.	/ɲaan di sinima kaṇṭu./	I saw the movie.	[sound:0001_ദി_03.mp3]	"<img src=""0001_ദി_03.jpg"">"
0001_ദി_04	ദി	The word 'ദി' (di) is a definite article in Malayalam, equivalent to 'the' in English. It specifies a particular noun.	അവൾ ദി പാട്ട് പാടി.	/avaḷ di paatt paati./	She sang the song.	[sound:0001_ദി_04.mp3]	"<img src=""0001_ദി_04.jpg"">"
0001_ദി_05	ദി	The word 'ദി' (di) is a definite article in Malayalam, equivalent to 'the' in English. It specifies a particular noun.	ഇത് ദി വീട് ആണ്.	/ith di veet aahn./	This is the house.	[sound:0001_ദി_05.mp3]	"<img src=""0001_ദി_05.jpg"">"
0001_ദി_06	ദി	The word 'ദി' (di) is a definite article in Malayalam, equivalent to 'the' in English. It specifies a particular noun.	ദി പരീക്ഷ അടുത്ത ആഴ്ച ആണ്.	/di pareekṣa aṭutta aazhcha aaṇ./	The exam is next week.	[sound:0001_ദി_06.mp3]	"<img src=""0001_ദി_06.jpg"">"
0001_ദി_07	ദി	The word 'ദി' (di) is a definite article in Malayalam, equivalent to 'the' in English. It specifies a particular noun.	അവൻ ദി പണം കൊടുത്തു.	/avan di paṇam koṭuttu./	He gave the money.	[sound:0001_ദി_07.mp3]	"<img src=""0001_ദി_07.jpg"">"
0001_ദി_08	ദി	The word 'ദി' (di) is a definite article in Malayalam, equivalent to 'the' in English. It specifies a particular noun.	അമ്മ ദി ഭക്ഷണം ഉണ്ടാക്കി.	/amma di bhaക്ഷണം uṇṭaakki./	Mother made the food.	[sound:0001_ദി_08.mp3]	"<img src=""0001_ദി_08.jpg"">"
0001_ദി_09	ദി	The word 'ദി' (di) is a definite article in Malayalam, equivalent to 'the' in English. It specifies a particular noun.	ഞങ്ങൾ ദി സ്ഥലം കണ്ടു.	/ɲaṅṅaḷ di sthalam kaṇṭu./	We saw the place.	[sound:0001_ദി_09.mp3]	"<img src=""0001_ദി_09.jpg"">"
0001_ദി_10	ദി	The word 'ദി' (di) is a definite article in Malayalam, equivalent to 'the' in English. It specifies a particular noun.	ഇതാണ് ദി വഴി വീട്ടിലേക്ക്.	/ithaahn di vazhi veettilekk./	This is the way home.	[sound:0001_ദി_10.mp3]	"<img src=""0001_ദി_10.jpg"">"
